Process,Function,Job,Discipline,Description,Word_Count,Edited_Description,Valence,Arousal,Dominance,Auditory,Gustatory,Haptic,Interoceptive,Olfactory,Visual,Foot_leg,Hand_arm,Head,Mouth,Torso,Valence_Category,Arousal_Category,Dominance_Category,Auditory_Category,Gustatory_Category,Haptic_Category,Interoceptive_Category,Olfactory_Category,Visual_Category,Foot_leg_Category,Hand_arm_Category,Head_Category,Mouth_Category,Torso_Category
Directors,Executives/Officers/Heads Of,PR executive,Marketing,"A Public Relations (PR) Executive manages an organization's public image and reputation. They develop and implement PR strategies, handle media relations, and create content that communicates the organization's messages to the public. PR Executives organize events, manage crises, and work to build and maintain positive relationships with stakeholders, including the media, customers, and the community. Their role is essential in shaping public perception and enhancing the organization's brand and credibility.",70,"['public', 'relations', 'pr', 'executive', 'manages', 'organization', ""'s"", 'public', 'image', 'reputation', 'develop', 'implement', 'pr', 'strategy', 'handle', 'medium', 'relation', 'create', 'content', 'communicates', 'organization', ""'s"", 'message', 'public', 'pr', 'executives', 'organize', 'event', 'manage', 'crisis', 'work', 'build', 'maintain', 'positive', 'relationship', 'stakeholder', 'including', 'medium', 'customer', 'community', 'role', 'essential', 'shaping', 'public', 'perception', 'enhancing', 'organization', ""'s"", 'brand', 'credibility']",0.6104828014615492,0.5289125298448095,0.6016214940794453,2.00797375,0.27534165179487174,1.0347142537692307,1.1170954604102563,0.43313219725641017,3.249062888153846,0.9727672712307691,1.8144795477435895,2.7194743335897433,1.5208751115128207,0.9616561514102563,Low,Moderate,Low,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Directors,Executives/Officers/Heads Of,Press executive,Marketing,"A Press Executive focuses on managing interactions with the media and securing positive coverage for the organization. They write press releases, arrange press conferences, and coordinate media interviews. Press Executives monitor media coverage, respond to inquiries, and build relationships with journalists and editors. Their efforts help to ensure that the organization receives favorable publicity and that its messages are effectively communicated to the public.",64,"['press', 'executive', 'focus', 'managing', 'interaction', 'medium', 'securing', 'positive', 'coverage', 'organization', 'write', 'press', 'release', 'arrange', 'press', 'conference', 'coordinate', 'medium', 'interview', 'press', 'executives', 'monitor', 'medium', 'coverage', 'respond', 'inquiry', 'build', 'relationship', 'journalist', 'editor', 'effort', 'help', 'ensure', 'organization', 'receives', 'favorable', 'publicity', 'message', 'effectively', 'communicated', 'public']",0.6233774662791297,0.5098764419994706,0.5862156149031924,2.013316352111111,0.24302092652777774,1.3093498590833337,1.1847602431111113,0.27862769372222224,3.1035119315,1.0800806110555556,2.19380596475,2.669914418861111,1.6758897205277776,0.9528945470000001,Moderate,Moderate,Extremely Low,Moderate,Low,Moderate,High,Low,Low,Moderate,High,Low,High,Moderate
Directors,Executives/Officers/Heads Of,Research officer,Data and R&D,"A Research Officer conducts research to support the development of policies, programs, or products. They design research studies, collect and analyze data, and compile reports that provide insights and recommendations. Research Officers work in various fields, including academia, government, healthcare, and business, contributing to knowledge advancement and decision-making processes. Their role involves critical thinking, analytical skills, and attention to detail to ensure the accuracy and relevance of research findings.",69,"['research', 'officer', 'conduct', 'research', 'support', 'development', 'policy', 'program', 'product', 'design', 'research', 'study', 'collect', 'analyze', 'data', 'compile', 'report', 'provide', 'insight', 'recommendation', 'research', 'officers', 'work', 'various', 'field', 'including', 'academia', 'government', 'healthcare', 'business', 'contributing', 'knowledge', 'advancement', 'decision-making', 'process', 'role', 'involves', 'critical', 'thinking', 'analytical', 'skill', 'attention', 'detail', 'ensure', 'accuracy', 'relevance', 'research', 'finding']",0.620026702298666,0.5301683333344235,0.6548637042785581,1.9074237371136362,0.3197273944545454,0.8549034216136363,1.0457129076136362,0.35610397134090904,3.0434060737499995,0.9307955717727272,1.6561094135227272,3.0924011789772723,1.4851197736363637,0.7911771965454547,Low,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Low,High,Moderate,Low
Directors,Executives/Officers/Heads Of,Rights executive,Culture & Heritage,"A Rights Executive manages the acquisition and licensing of rights for content, such as books, films, music, and other intellectual property. They negotiate contracts, handle rights clearances, and ensure compliance with copyright laws and regulations. Rights Executives work with creators, producers, and distributors to secure the necessary permissions and maximize the value of intellectual property assets. Their role is vital in protecting and monetizing creative works and ensuring that rights are managed effectively.",73,"['rights', 'executive', 'manages', 'acquisition', 'licensing', 'right', 'content', 'book', 'film', 'music', 'intellectual', 'property', 'negotiate', 'contract', 'handle', 'right', 'clearance', 'ensure', 'compliance', 'copyright', 'law', 'regulation', 'rights', 'executives', 'work', 'creator', 'producer', 'distributor', 'secure', 'necessary', 'permission', 'maximize', 'value', 'intellectual', 'property', 'asset', 'role', 'vital', 'protecting', 'monetizing', 'creative', 'work', 'ensuring', 'right', 'managed', 'effectively']",0.6552159167553413,0.5190788930733964,0.6277091301492038,1.841220174230769,0.20226834884615383,0.9890147371025643,1.1586213416666664,0.2468322657179487,2.8605897751538456,0.809779955025641,1.6833092703589745,2.614237911897436,1.3403748305384615,0.773168227974359,High,Moderate,Moderate,Moderate,Low,Low,High,Low,Extremely Low,Low,Low,Low,Moderate,Low
Directors,Executives/Officers/Heads Of,Sales executive,Marketing,"A Sales Executive is responsible for generating sales and driving revenue growth for an organization. They identify potential clients, develop sales strategies, and close deals that contribute to the organization's success. Sales Executives build and maintain relationships with customers, provide product demonstrations, and negotiate terms and contracts. Their role requires strong communication, negotiation, and customer service skills to achieve sales targets and foster long-term client loyalty.",66,"['sales', 'executive', 'responsible', 'generating', 'sale', 'driving', 'revenue', 'growth', 'organization', 'identify', 'potential', 'client', 'develop', 'sale', 'strategy', 'close', 'deal', 'contribute', 'organization', ""'s"", 'success', 'sales', 'executives', 'build', 'maintain', 'relationship', 'customer', 'provide', 'product', 'demonstration', 'negotiate', 'term', 'contract', 'role', 'requires', 'strong', 'communication', 'negotiation', 'customer', 'service', 'skill', 'achieve', 'sale', 'target', 'foster', 'long-term', 'client', 'loyalty']",0.6572429906767404,0.5569230817988587,0.6502718913507546,2.062894790227272,0.22055934388636358,0.990644403590909,0.9867514704090908,0.27505013454545446,3.1901952799545445,1.1349484777954546,1.9391323826136364,2.7703581459545457,1.8181874529318178,1.0644280481590909,High,High,High,High,Low,Low,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Extremely High,Moderate
Directors,Executives/Officers/Heads Of,Search engine optimisation executive,Marketing,"A Search Engine Optimization (SEO) Executive improves the visibility and ranking of an organization's website on search engines like Google. They conduct keyword research, optimize website content, and implement SEO strategies to increase organic traffic. SEO Executives analyze website performance, track search engine rankings, and stay updated on industry trends and algorithm changes. Their expertise helps organizations enhance their online presence, attract more visitors, and achieve higher search engine rankings, contributing to overall digital marketing success.",76,"['search', 'engine', 'optimization', 'seo', 'executive', 'improves', 'visibility', 'ranking', 'organization', ""'s"", 'website', 'search', 'engine', 'like', 'google', 'conduct', 'keyword', 'research', 'optimize', 'website', 'content', 'implement', 'seo', 'strategy', 'increase', 'organic', 'traffic', 'seo', 'executives', 'analyze', 'website', 'performance', 'track', 'search', 'engine', 'ranking', 'stay', 'updated', 'industry', 'trend', 'algorithm', 'change', 'expertise', 'help', 'organization', 'enhance', 'online', 'presence', 'attract', 'visitor', 'achieve', 'higher', 'search', 'engine', 'ranking', 'contributing', 'overall', 'digital', 'marketing', 'success']",0.6455784854444974,0.5418883619930226,0.6088875953795037,1.8648495903076923,0.3183927121730769,0.9305921856730771,0.9420614222307692,0.4214345568653846,3.4563041994423074,1.1077580765576922,1.8396693981730767,3.0625395995769233,1.314205188769231,0.8710668652884616,Moderate,High,Low,Moderate,Moderate,Low,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Low
Directors,Producers/Fundraisers,Agency producer,Marketing,"An Agency Producer manages the production of advertising campaigns within an agency. They oversee the entire production process, from concept development to final delivery, ensuring that projects are completed on time, within budget, and meet client expectations. Agency Producers coordinate with creative teams, directors, and external vendors, managing logistics and problem-solving to deliver high-quality campaigns. Their role requires excellent organizational skills, attention to detail, and the ability to handle multiple projects simultaneously.",72,"['agency', 'producer', 'manages', 'production', 'advertising', 'campaign', 'within', 'agency', 'oversee', 'entire', 'production', 'process', 'concept', 'development', 'final', 'delivery', 'ensuring', 'project', 'completed', 'time', 'within', 'budget', 'meet', 'client', 'expectation', 'agency', 'producers', 'coordinate', 'creative', 'team', 'director', 'external', 'vendor', 'managing', 'logistics', 'problem-solving', 'deliver', 'high-quality', 'campaign', 'role', 'requires', 'excellent', 'organizational', 'skill', 'attention', 'detail', 'ability', 'handle', 'multiple', 'project', 'simultaneously']",0.5952801741651279,0.5507012410675733,0.6528707321022206,1.9301756442790694,0.3277153211860464,0.9122874016511627,0.9389000602093023,0.3300491310232559,3.0676045306279076,0.991525044395349,1.6521814942093023,2.612308218395349,1.5587080706279066,0.8781730161395349,Low,High,High,Moderate,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,High,Moderate
Directors,Producers/Fundraisers,Audio producer,Music & Audio,"An Audio Producer is responsible for creating and managing audio content for various media, including music, podcasts, radio shows, and video games. They work with artists, voice actors, and technical staff to record, mix, and edit audio tracks. Audio Producers ensure that the final product meets quality standards and aligns with the project's creative vision. Their expertise in sound engineering, music production, and audio technology is crucial in delivering engaging and high-quality audio experiences.",74,"['audio', 'producer', 'responsible', 'creating', 'managing', 'audio', 'content', 'various', 'medium', 'including', 'music', 'podcasts', 'radio', 'show', 'video', 'game', 'work', 'artist', 'voice', 'actor', 'technical', 'staff', 'record', 'mix', 'edit', 'audio', 'track', 'audio', 'producers', 'ensure', 'final', 'product', 'meet', 'quality', 'standard', 'aligns', 'project', ""'s"", 'creative', 'vision', 'expertise', 'sound', 'engineering', 'music', 'production', 'audio', 'technology', 'crucial', 'delivering', 'engaging', 'high-quality', 'audio', 'experience']",0.6642096415769876,0.5435594472565165,0.6465931250587307,2.748491776777778,0.3678105704666667,1.0558791673777776,1.088817333133333,0.3932776273555556,2.6748145838888884,0.8070920468666669,1.6642074487111105,3.1471924562666675,1.4370744845999999,0.8015451085333335,High,High,Moderate,Extremely High,Moderate,Moderate,Moderate,Moderate,Extremely Low,Low,Low,High,Moderate,Low
Directors,Producers/Fundraisers,Celebrity producer,Culture & Heritage,"A Celebrity Producer coordinates projects that involve high-profile individuals, such as actors, musicians, and influencers. They manage schedules, negotiate contracts, and handle logistics to ensure that celebrity collaborations run smoothly. Celebrity Producers work closely with agents, publicists, and clients to align celebrity involvement with brand goals and campaign objectives. Their role is essential in securing talent, managing expectations, and delivering successful projects that leverage the influence of celebrities.",68,"['celebrity', 'producer', 'coordinate', 'project', 'involve', 'high-profile', 'individual', 'actor', 'musician', 'influencers', 'manage', 'schedule', 'negotiate', 'contract', 'handle', 'logistics', 'ensure', 'celebrity', 'collaboration', 'run', 'smoothly', 'celebrity', 'producers', 'work', 'closely', 'agent', 'publicist', 'client', 'align', 'celebrity', 'involvement', 'brand', 'goal', 'campaign', 'objective', 'role', 'essential', 'securing', 'talent', 'managing', 'expectation', 'delivering', 'successful', 'project', 'leverage', 'influence', 'celebrity']",0.5965537073807429,0.5426351964936919,0.6429742849942013,2.2042496880243903,0.18611783990243902,0.9447427527317074,0.9355428435365855,0.19724399051219507,3.1187476070731703,0.9503040213414634,1.6098805309756097,2.6431235146097563,1.5539493366097556,0.8621698138292684,Low,High,Moderate,High,Low,Low,Moderate,Low,Low,Moderate,Low,Low,High,Low
Directors,Producers/Fundraisers,Deliverables producer,Marketing,"A Deliverables Producer ensures that all aspects of a project are completed and delivered according to the client's specifications and deadlines. They manage the production timeline, coordinate with various departments, and oversee the final output to ensure quality and compliance with project requirements. Deliverables Producers play a critical role in maintaining project integrity, managing client expectations, and ensuring that deliverables meet the highest standards.",64,"['deliverables', 'producer', 'ensures', 'aspect', 'project', 'completed', 'delivered', 'according', 'client', ""'s"", 'specification', 'deadline', 'manage', 'production', 'timeline', 'coordinate', 'various', 'department', 'oversee', 'final', 'output', 'ensure', 'quality', 'compliance', 'project', 'requirement', 'deliverables', 'producers', 'play', 'critical', 'role', 'maintaining', 'project', 'integrity', 'managing', 'client', 'expectation', 'ensuring', 'deliverable', 'meet', 'highest', 'standard']",0.5596965162151467,0.5379941666226296,0.6324163969923596,1.951854379375,0.25933791274999995,0.725715886625,0.99959935446875,0.2996785199375,2.84146952090625,0.8340138168125001,1.3900636939374997,2.4716343485000003,1.5640803420625,0.8096804720625002,Extremely Low,High,Moderate,Moderate,Low,Low,Moderate,Low,Extremely Low,Low,Extremely Low,Low,High,Low
Directors,Producers/Fundraisers,Development producer,Data and R&D,"A Development Producer is involved in the early stages of project creation, focusing on concept development and securing funding. They identify and develop new ideas, write proposals, and pitch projects to potential investors or production companies. Development Producers work closely with writers, directors, and creative teams to shape the project's vision and bring it to life. Their role is crucial in getting projects off the ground and ensuring they have the support and resources needed to succeed.",77,"['development', 'producer', 'involved', 'early', 'stage', 'project', 'creation', 'focusing', 'concept', 'development', 'securing', 'funding', 'identify', 'develop', 'new', 'idea', 'write', 'proposal', 'pitch', 'project', 'potential', 'investor', 'production', 'company', 'development', 'producers', 'work', 'closely', 'writer', 'director', 'creative', 'team', 'shape', 'project', ""'s"", 'vision', 'bring', 'life', 'role', 'crucial', 'getting', 'project', 'ground', 'ensuring', 'support', 'resource', 'needed', 'succeed']",0.6387154686852201,0.5317683634587886,0.6815386171462657,1.8409504010238091,0.4026310269285714,1.3294342624285715,1.1783330121190478,0.46768468566666666,3.2063912688571428,1.1031042613333335,1.8442433060238097,2.6388418260000006,1.432208167690476,0.9727318891190474,Moderate,Moderate,Extremely High,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate
Directors,Producers/Fundraisers,Digital producer,Marketing,"A Digital Producer manages the creation and distribution of digital content across various platforms, including websites, social media, and mobile apps. They oversee the production process, from planning and development to launch and optimization, ensuring that digital projects are engaging, user-friendly, and aligned with strategic goals. Digital Producers work with designers, developers, and content creators to deliver high-quality digital experiences that drive audience engagement and achieve business objectives.",68,"['digital', 'producer', 'manages', 'creation', 'distribution', 'digital', 'content', 'across', 'various', 'platform', 'including', 'website', 'social', 'medium', 'mobile', 'apps', 'oversee', 'production', 'process', 'planning', 'development', 'launch', 'optimization', 'ensuring', 'digital', 'project', 'engaging', 'user-friendly', 'aligned', 'strategic', 'goal', 'digital', 'producers', 'work', 'designer', 'developer', 'content', 'creator', 'deliver', 'high-quality', 'digital', 'experience', 'drive', 'audience', 'engagement', 'achieve', 'business', 'objective']",0.6616606728735976,0.543115862608093,0.6634057858451526,1.801990976775,0.3042678723,1.0003994449750002,0.9555055728499999,0.3370604778999999,3.2913792529749997,1.080204248375,1.8173620325250002,2.7530169172249996,1.3097581577,0.9570528649750001,High,High,High,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Directors,Producers/Fundraisers,E-sports producer,Games & 3D,"An E-sports Producer organizes and manages competitive gaming events and content. They coordinate with teams, players, sponsors, and broadcasters to ensure that e-sports tournaments and broadcasts run smoothly. E-sports Producers handle logistics, scheduling, and technical aspects of production, ensuring high-quality live streams and engaging viewer experiences. Their role is vital in the growing e-sports industry, where they help create exciting and professional events that attract large audiences.",67,"['e-sports', 'producer', 'organizes', 'manages', 'competitive', 'gaming', 'event', 'content', 'coordinate', 'team', 'player', 'sponsor', 'broadcaster', 'ensure', 'e-sports', 'tournament', 'broadcast', 'run', 'smoothly', 'e-sports', 'producers', 'handle', 'logistics', 'scheduling', 'technical', 'aspect', 'production', 'ensuring', 'high-quality', 'live', 'stream', 'engaging', 'viewer', 'experience', 'role', 'vital', 'growing', 'e-sports', 'industry', 'help', 'create', 'exciting', 'professional', 'event', 'attract', 'large', 'audience']",0.6158419203091513,0.5356422157332676,0.6288025890076505,2.1919720536216216,0.3110890518918919,1.0401188016216216,1.258737802054054,0.3717329188378378,3.2560426176216217,1.313001484135135,1.910234594243243,2.7618681404594594,1.6660355361621624,1.1854684586216215,Low,High,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,High,High
Directors,Producers/Fundraisers,Edit producer,Moving Image & Theatre,"An Edit Producer oversees the post-production process, ensuring that video content is edited to meet creative and technical standards. They work with editors to review footage, make editorial decisions, and refine the narrative structure. Edit Producers ensure that the final cut aligns with the director's vision and project objectives. Their role involves a keen eye for detail, storytelling skills, and the ability to manage tight deadlines and multiple revisions.",69,"['edit', 'producer', 'oversees', 'post-production', 'process', 'ensuring', 'video', 'content', 'edited', 'meet', 'creative', 'technical', 'standard', 'work', 'editor', 'review', 'footage', 'make', 'editorial', 'decision', 'refine', 'narrative', 'structure', 'edit', 'producers', 'ensure', 'final', 'cut', 'aligns', 'director', ""'s"", 'vision', 'project', 'objective', 'role', 'involves', 'keen', 'eye', 'detail', 'storytelling', 'skill', 'ability', 'manage', 'tight', 'deadline', 'multiple', 'revision']",0.5977887934947185,0.5065689365167128,0.6382233615340179,1.7971317577692305,0.2754408742307692,0.9727502666923076,0.9755783155897436,0.2867132046666666,2.981964402615385,0.7886409886410256,1.7598246783076923,2.857692405025641,1.4991269938974359,0.792504766102564,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Low
Directors,Producers/Fundraisers,Film producer,Moving Image & Theatre,"A Film Producer is responsible for overseeing the production of a film from inception to completion. They secure funding, hire key personnel, manage budgets, and coordinate the various aspects of production, including pre-production, shooting, and post-production. Film Producers work closely with directors, writers, and studio executives to ensure that the film meets creative and commercial goals. Their role is crucial in bringing a film project to life and navigating the complexities of the film industry.",75,"['film', 'producer', 'responsible', 'overseeing', 'production', 'film', 'inception', 'completion', 'secure', 'funding', 'hire', 'key', 'personnel', 'manage', 'budget', 'coordinate', 'various', 'aspect', 'production', 'including', 'pre-production', 'shooting', 'post-production', 'film', 'producers', 'work', 'closely', 'director', 'writer', 'studio', 'executive', 'ensure', 'film', 'meet', 'creative', 'commercial', 'goal', 'role', 'crucial', 'bringing', 'film', 'project', 'life', 'navigating', 'complexity', 'film', 'industry']",0.6528221839791036,0.5135484404399224,0.6163155079009196,2.0152848045121945,0.2637296144390244,0.9140441317317073,0.9432430773658537,0.3315418085365854,3.172431049121951,0.8508996885365854,1.792459857073171,2.6832831503414636,1.306283904560976,0.8302731525609753,High,Moderate,Low,Moderate,Low,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Low
Directors,Producers/Fundraisers,Fundraiser,Culture & Heritage,"A Fundraiser works to secure financial support for organizations, projects, or causes. They develop and implement fundraising strategies, organize events, and build relationships with donors and sponsors. Fundraisers use various methods, including grant writing, campaigns, and donor outreach, to generate funds. Their role is essential in ensuring the financial sustainability of non-profits, charities, and other organizations that rely on donations and external funding.",63,"['fundraiser', 'work', 'secure', 'financial', 'support', 'organization', 'project', 'cause', 'develop', 'implement', 'fundraising', 'strategy', 'organize', 'event', 'build', 'relationship', 'donor', 'sponsor', 'fundraisers', 'use', 'various', 'method', 'including', 'grant', 'writing', 'campaign', 'donor', 'outreach', 'generate', 'fund', 'role', 'essential', 'ensuring', 'financial', 'sustainability', 'non-profits', 'charity', 'organization', 'rely', 'donation', 'external', 'funding']",0.6338843949107956,0.505348674637006,0.6194521498063266,1.6112828003846158,0.20624463828205128,0.9354966642564102,0.9179804256923075,0.22968956282051275,2.8199700253333337,0.9800327525384614,1.9092039539743593,2.4862046220512815,1.370233012025641,0.8817000336666666,Moderate,Moderate,Low,Low,Low,Low,Moderate,Low,Extremely Low,Moderate,Moderate,Low,Moderate,Moderate
Directors,Producers/Fundraisers,Games producer,Games & 3D,"A Games Producer oversees the development of video games, managing the production process from concept to release. They coordinate with designers, programmers, artists, and testers to ensure that the game meets quality standards and is completed on time and within budget. Games Producers handle scheduling, resource allocation, and risk management, ensuring that the development team stays on track and that the final product delivers an engaging player experience. Their role is critical in navigating the complexities of game development and bringing creative visions to life.",85,"['games', 'producer', 'oversees', 'development', 'video', 'game', 'managing', 'production', 'process', 'concept', 'release', 'coordinate', 'designer', 'programmer', 'artist', 'tester', 'ensure', 'game', 'meet', 'quality', 'standard', 'completed', 'time', 'within', 'budget', 'games', 'producers', 'handle', 'scheduling', 'resource', 'allocation', 'risk', 'management', 'ensuring', 'development', 'team', 'stay', 'track', 'final', 'product', 'delivers', 'engaging', 'player', 'experience', 'role', 'critical', 'navigating', 'complexity', 'game', 'development', 'bringing', 'creative', 'vision', 'life']",0.6386470660886233,0.5695074319547212,0.6516216442048073,1.8330090216976749,0.5047287336279069,1.2390751873488373,1.278226559860465,0.5317330461395349,3.2778111631860454,1.1149825086744187,1.9559324096511628,2.852942719372093,1.5455501499302324,1.0138117180930233,Moderate,Extremely High,High,Moderate,Extremely High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,High,Moderate
Directors,Producers/Fundraisers,Line producer,Moving Image & Theatre,"A Line Producer is responsible for managing the day-to-day operations of a film or television production. They handle budgeting, scheduling, and logistics, ensuring that the production runs smoothly and efficiently. Line Producers work closely with directors, department heads, and crew to coordinate all aspects of production, from pre-production planning to on-set operations. Their role is vital in maintaining control over costs, managing resources, and ensuring that the production stays on schedule.",71,"['line', 'producer', 'responsible', 'managing', 'day-to-day', 'operation', 'film', 'television', 'production', 'handle', 'budgeting', 'scheduling', 'logistics', 'ensuring', 'production', 'run', 'smoothly', 'efficiently', 'line', 'producers', 'work', 'closely', 'director', 'department', 'head', 'crew', 'coordinate', 'aspect', 'production', 'pre-production', 'planning', 'on-set', 'operation', 'role', 'vital', 'maintaining', 'control', 'cost', 'managing', 'resource', 'ensuring', 'production', 'stay', 'schedule']",0.5497329773237525,0.5123395957580364,0.6182152192590501,1.6992797557500001,0.20482673062499998,1.1644343318749997,0.9054335823749998,0.2257579265625,3.2445767260937495,1.1853942385,1.8629482085,2.6768037518437504,1.31502264178125,1.0167364433437498,Extremely Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate,Moderate
Directors,Producers/Fundraisers,Media producer,Moving Image & Theatre,"A Media Producer creates and manages content for various media platforms, including television, radio, digital, and print. They oversee the production process, from concept development to final delivery, ensuring that content is engaging, high-quality, and aligned with strategic goals. Media Producers work with writers, directors, editors, and other creatives to produce programs, advertisements, and other media projects. Their role is crucial in shaping the content that audiences consume and ensuring that it meets the desired standards and objectives.",78,"['media', 'producer', 'creates', 'manages', 'content', 'various', 'medium', 'platform', 'including', 'television', 'radio', 'digital', 'print', 'oversee', 'production', 'process', 'concept', 'development', 'final', 'delivery', 'ensuring', 'content', 'engaging', 'high-quality', 'aligned', 'strategic', 'goal', 'media', 'producers', 'work', 'writer', 'director', 'editor', 'creatives', 'produce', 'program', 'advertisement', 'medium', 'project', 'role', 'crucial', 'shaping', 'content', 'audience', 'consume', 'ensuring', 'meet', 'desired', 'standard', 'objective']",0.6287845332550166,0.5095669314128125,0.6302068885910047,2.0210880181904765,0.3585576304761905,0.9056824352380952,0.9298675428095239,0.33630422602380955,3.1300756069999998,0.7865397488333333,1.6761042654761904,2.729700583047619,1.4050774749047619,0.7841447104761905,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Low
Directors,Producers/Fundraisers,Music producer,Music & Audio,"A Music Producer oversees the recording and production of music tracks and albums. They work with artists, musicians, and sound engineers to arrange, record, mix, and master music. Music Producers provide creative direction, technical expertise, and project management, ensuring that the final product meets artistic and commercial goals. Their role is essential in shaping the sound and quality of music releases, guiding the creative process, and bringing musical visions to life.",71,"['music', 'producer', 'oversees', 'recording', 'production', 'music', 'track', 'album', 'work', 'artist', 'musician', 'sound', 'engineer', 'arrange', 'record', 'mix', 'master', 'music', 'music', 'producers', 'provide', 'creative', 'direction', 'technical', 'expertise', 'project', 'management', 'ensuring', 'final', 'product', 'meet', 'artistic', 'commercial', 'goal', 'role', 'essential', 'shaping', 'sound', 'quality', 'music', 'release', 'guiding', 'creative', 'process', 'bringing', 'musical', 'vision', 'life']",0.6885092432931879,0.5256061687203006,0.661034354006619,2.5231691360681823,0.37492934375000003,1.028734925,1.1071630026363637,0.38210707529545457,2.7664633675681816,1.0675530510227276,1.9798849094318185,3.119647345,1.68806149325,0.9579436711363637,Extremely High,Moderate,High,Extremely High,Moderate,Low,High,Moderate,Extremely Low,Moderate,Moderate,High,High,Moderate
Directors,Producers/Fundraisers,Question producer,Journalism & Creative Writing,"A Question Producer develops and curates questions for quiz shows, educational programs, and other formats that require question-based content. They research topics, write questions, and ensure that the content is accurate, engaging, and appropriate for the target audience. Question Producers work with hosts, editors, and producers to integrate questions seamlessly into the program. Their role involves creativity, attention to detail, and a strong understanding of the subject matter to create compelling and challenging content.",74,"['question', 'producer', 'develops', 'curate', 'question', 'quiz', 'show', 'educational', 'program', 'format', 'require', 'question-based', 'content', 'research', 'topic', 'write', 'question', 'ensure', 'content', 'accurate', 'engaging', 'appropriate', 'target', 'audience', 'question', 'producers', 'work', 'host', 'editor', 'producer', 'integrate', 'question', 'seamlessly', 'program', 'role', 'involves', 'creativity', 'attention', 'detail', 'strong', 'understanding', 'subject', 'matter', 'create', 'compelling', 'challenging', 'content']",0.6265986227690737,0.5096898581626694,0.6382856412921687,2.2124541903095234,0.3250275186904762,0.9041338100238095,1.066231536857143,0.3245708506428572,2.9440137895476193,0.6828312540238094,1.6010320813095236,2.9414624732142847,1.5502748561904762,0.737165759809524,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Low,Low,Extremely Low,Low,High,High,Low
Directors,Producers/Fundraisers,Radio producer,Music & Audio,"A Radio Producer manages the production of radio programs, overseeing everything from concept development to broadcast. They work with hosts, guests, and technical staff to plan and produce shows, ensuring that content is engaging and meets broadcast standards. Radio Producers handle scheduling, scriptwriting, and editing, as well as live show management. Their role is vital in creating compelling radio content that attracts and retains listeners.",65,"['radio', 'producer', 'manages', 'production', 'radio', 'program', 'overseeing', 'everything', 'concept', 'development', 'broadcast', 'work', 'host', 'guest', 'technical', 'staff', 'plan', 'produce', 'show', 'ensuring', 'content', 'engaging', 'meet', 'broadcast', 'standard', 'radio', 'producers', 'handle', 'scheduling', 'scriptwriting', 'editing', 'well', 'live', 'show', 'management', 'role', 'vital', 'creating', 'compelling', 'radio', 'content', 'attracts', 'retains', 'listener']",0.6462792684549813,0.4906205552008327,0.6180903539012238,2.568256305371429,0.36150693268571427,1.0491232660857142,1.0639842154000003,0.40752446540000015,3.1591758664285714,0.9144972906857145,1.9618519409714286,2.943610882657142,1.6688872013142855,0.955165609,Moderate,Low,Low,Extremely High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,High,Moderate
Directors,Producers/Fundraisers,Theatre fundraiser,Moving Image & Theatre,"A Theatre Fundraiser works to secure financial support for theatrical productions and institutions. They develop fundraising strategies, organize events, and build relationships with donors and sponsors. Theatre Fundraisers use various methods, including grant writing, campaigns, and donor outreach, to generate funds. Their role is essential in ensuring the financial sustainability of theatres and supporting the production of high-quality performances.",59,"['theatre', 'fundraiser', 'work', 'secure', 'financial', 'support', 'theatrical', 'production', 'institution', 'develop', 'fundraising', 'strategy', 'organize', 'event', 'build', 'relationship', 'donor', 'sponsor', 'theatre', 'fundraisers', 'use', 'various', 'method', 'including', 'grant', 'writing', 'campaign', 'donor', 'outreach', 'generate', 'fund', 'role', 'essential', 'ensuring', 'financial', 'sustainability', 'theatre', 'supporting', 'production', 'high-quality', 'performance']",0.6178698034465326,0.5196851112867431,0.6166303984093816,1.7729827368857147,0.2430443628285714,0.9497461026285714,0.9408326328,0.2844305824571428,2.869781967,1.115875166742857,1.9429883404857142,2.5225141922571424,1.4215500490571429,0.9928145994571427,Low,Moderate,Low,Moderate,Low,Low,Moderate,Low,Extremely Low,Moderate,Moderate,Low,Moderate,Moderate
